Taxon	C12FCHL	C12FCHS	C13FJBL	C13FJBS	C14FJOS	C14FJOL	C15FNSL	C15FNSS	C15FTCL	C15FTCS	C16FHWL	C16FHWS	C17FHEL	C17FHES	C18FCLL	C18FCLS	C18FHHL	C18FHHS	C18FTGL	C18FTGS	C19FTTL	C19FTTS	C20FJAL	C20FJAS	C20FPHL	C20PHS	C2F1L	C2F1S	C2F4F1	C2F4F2	C2F4F3	C2F4L1	C2F4L2	C2F4L3	C2F4S1	C2F4S2	C2F4S3	C3F10L	C3F10S	C3F14L	C3F14S	C4F17F1	C4F17F2	C4F17F3	C4F17L1	C4F17L2	C4F17L3	C4F17S1	C4F17S2	C4F17S3	C4F8L	C4F8PC	C4F8PP	C4F8S	C6F35L	C6F35S	C6F37L	C6F37S	C6F60L	C6F60S	C7F14L	C7F14S	C7F22L	C7F22S	C7F81L	C7F81S	C8F40F1	C8F40F2	C8F40F3	C8F40L1	C8F40L2	C8F40L3	C8F40S1	C8F40S2	C8F40S3
SGB55569	0	0.02152	0	0.01178	0	0	0	0	0	0	0	0.0003	0	0.02674	0	0.02372	0	0.00011	0	0.09875	0	0.0208	0	0	0	0.00437	0	0	0.01513	0.01364	0.00169	0	0	0	0	0	0	0	0.00153	0	0.00252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01341	0	0.0003	0	0.00858	0	0.00665	0	0	0	0.00578	0	0	0	0	0.00041	0.00483	0.00356
SGB10187	0	0.02118	0	0.00918	0	0	0	0.01991	0	0.03259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0
SGB10707	0	0.02068	0	0.02691	0	0	0	0.00636	0	0	0	0.03676	0	0.00297	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01778	0	0.01173	0	0	0	0	0.04646	0.0315	0.04232	0	0.01544	0	0.1366	0	0	0	0	0	0	0.02996	0.05819	0.05658	0	0	0	0.03372	0	0.3448	0	0.0066	0	0.43341	0	0.00414	0	0.05613	0	0	0	0	0	0	0	0	0	0	0
SGB16047	0	0.02056	0	0.03776	0	0	0	0.00062	0	0.0059	0	0	0	0.00144	0	0	0	0	0	0.00156	0	0	0	0	0	0	0	0.01026	0	0	0	0	0	0	0.04273	0.01525	0.00983	0	0.01098	0	0.17601	0.00023	0.00588	0.0102	0	0	0	0	0	0.00053	0	0	0	0.00377	0	0.00768	0	0.07128	0	0.08059	0	0.00315	0	0.03572	0	0	0	0	0	0	0	0	0.00051	0.00056	0.00294
SGB34148	0	0.02006	0	0	0	0	0	0.00809	0	0.00866	0	0.00012	0	0.00166	0	0.00415	0	0	0	0.0057	0	0	0	0	0	0	0	0.00579	0	0	0	0	0	0	0	0	0	0	0	0	0.00889	0	0	0	0	0	0	0	0	0	0	0	0	0.00501	0	0	0	0	0	0	0	0.0123	0	0	0	0.00508	0	0	0	0	0	0	0	0	0
SGB87531	0	0.01987	0	0.00427	0	0	0	0	0	0	0	0	0	0.00854	0	0	0	0.0026	0	0.01793	0	0	0	0.00869	0	0	0	0	0.00151	0.00333	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00569	0	0.00448	0	0	0	0	0	0	0	0	0	0	0
SGB15824	0	0.01948	0	0.01462	3.85671	0	0	0.003	0	0.00387	0	0.01846	0	0.0721	0	0.02189	0	0	0	0.01529	0	0.07877	0	0	0	0	0	0.00303	0.00714	0.03428	0.00999	0	0	0	0	8.00E-05	0.00025	0	0.19433	0	0.01953	0	0	0	0	0	0	0	0	0	0	0	0	0.00401	0	0	0	0.07025	0	0.01973	0	0.0052	0	0.28281	0	0	0	0	0	0	0	0	0.01701	0.0079	0.00511
SGB12692	0	0.01918	0	0.0428	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0.01455	0	0	0	0	0	0	0	0	0	0	0	0	0.00223	0	0	0	0.00653	0	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB13427_group	0	0.01911	0	0.60169	0.11048	0	0	0.18425	0	2.48281	0	0.28184	0	0	0	1.38299	0	0.07232	0	0.00693	0	0.00481	0	0	0	0	0	0.15206	0	0	0	0	0	0	0.00463	0.02437	0.00039	0	0.00421	0	3.53756	0	0	0	0	0	0	0	0	0	0	0	0	0.03193	0	0	0	0.2197	0	0.43709	0	0.48319	0	0.00505	0	0.11701	0	0	0	0	0	0	0	0	0
SGB16851	0	0.01869	0	0	0	0	0	0.00592	0	0.00373	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB12868	0	0.01866	0	0.00301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0	0.01647	0	0	0	0	0	0	0	0	0.00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB16729	0	0.01862	0	0	0.07669	0	0	0.01003	0	0.00946	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00269	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB87533	0	0.0184	0	0.00201	0	0	0	0	0	0	0	0	0	0.0094	0	0.00533	0	0.00106	0	0.02397	0	0.00112	0	0.00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247	0	0	0	0.00278	0	0.00191	0	0	0	0	0	0	0	0	0	0	0
SGB11097	0	0.01822	0	0.02761	0	0	0	0.08585	0	0.03275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155	0.01297	0.01435	0	0	0	0.00282	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0	0.02471	0	0.0116	0	0.00549	0	0.00159	0	0	0	0	0	0	0	0	0.00038	0.00708	0.00194
SGB10973	0	0.01759	0	0.13897	0	0	0	0.04708	0	0.01843	0	0.0001	0	0.00667	0	0	0	0	0	0.02674	0	0	0	0	0	0	0	0.00152	0.004	0.00294	0.00634	0	0	0	0.00748	0.0097	0.00628	0	0	0	0.00532	0.01119	0.00265	0.00867	0	0	0	0	0	0	0	0	0	0.00426	0	0	0	0.0945	0	0.05047	0	0.01477	0	0.01515	0	0.00251	0	0	0	0	0	0	0.00064	0.0031	0.00209
SGB31132	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00946	0	0	0	0	0	0	0	0	0	0.00085	0
SGB33810	0	0.01685	0	0.03067	0.00825	0	0	0.0064	0	0	0	0.03844	0	0.05773	0	0	0	0.00186	0	0.00093	0	0	0	0	0	0	0	0	0.00827	0.00426	0.01823	0	0	0	0.00291	0.00328	0.00208	0	0.00224	0	0.00532	0	0	0	0	0	0	0.00126	0.00441	0.00455	0.00093	0	0	0.01539	0	0.00025	0	0.00131	0	0.01153	0	0.0036	0	0.00068	0	0.16972	0	0	0	0	0	0	0	0	0
SGB23872	0	0.01663	0	0	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0.00144	0	0.09951	0	0	0	0.08477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112	0	0	0.00389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0.0006	0.0032
SGB87826	0	0.01649	0	0	0	0	0	0.00647	0	0.00102	0	0	0	0	0	0.01941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB12473	0	0.01625	0	0.02695	0.00198	0	0	0.00626	0	0	0	0	0	0.00119	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0.00365	0	0	0.01359	0	0	0	0	0	0	0	0.00671	0	0.00085	0	0	0	0	0	0	0	0.00962	0	0	0	0	0	0	0	0	0.0319	0	0.05214	0	0.00665	0	0.01937	0	0	0	0	0	0	0	0	0	0	0
SGB27729	0	0.01616	0	0.01992	0	0	0	0.00428	0	0.00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0	0	0	0	0	0	0.00014	0.00081	0	0	0.00046	0	0.00592	0	0	0	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0.02563	0	0.05427	0	0.00744	0	0.01314	0	0	0	0	0	0	0	0	0.00057	0	0
SGB33292	0	0.01569	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00606	0.0006
SGB87585	0	0.01536	0	0.06447	0.00165	0	0	0.00707	0	0.00291	0	0.00163	0	0.00527	0	0	0	0	0	0.03898	0	0	0	0.00763	0	0	0	0.01011	0	0.00173	0	0	0	0	0.04784	0.04617	0.04711	0	0.00891	0	0.00561	0	0	0	0	0	0	0.00017	0.0023	0.00072	0	0	0	0.01838	0	0	0	0.25393	0	0.00998	0	0.02978	0	0.09823	0	0.01577	0	0	0	0	0	0	0	0	0
SGB87911	0	0.01504	0	0.03779	0	0	0	0.0015	0	0.00295	0	0.01059	0	0.04053	0	0	0	0	0	0.00229	0	0.05301	0	0	0	0	0	0.00065	0.0516	0.03537	0.12964	0	0	0	0.00525	0.00749	0.00479	0	0.04495	0	0.01293	0	0	0	0	0	0	0.05711	0.05831	0.06901	0.00015	0	0	0.00226	0	0.00124	0	0.00151	0	0.02425	0	0.00022	0	0.00166	0	0.04555	0	0	0	0	0	0	0	0	0
SGB10405	0	0.01477	0	0	0	0.04048	0	0	0	0	0	0.00198	0	0.00016	0	0	0	0.01382	0	0	0	0	0	0	0	0	0	0.05742	0.02267	0.05865	0.076	0	0	0	0.08122	0.02979	0.04608	0	0	0	0.13262	0.03492	0.1689	0.07665	0	0	0	0.01706	0.00973	0.01678	0	0	0	0	0	0.00677	0	0.03302	0	0.70297	0	0.02927	0	0.06877	0	0	0	0	0.00465	0	0	0	0	0	0
SGB34120	0	0.01429	0	0.01409	0.2246	0	0	0	0	0	0	0	0	0.0278	0	0.09379	0	0	0	0.1304	0	0.06044	0	0.08325	0	0.20731	0	0.06326	0	0	0	0	0	0	0.07562	0.08859	0.08322	0	0.02735	0	0.02538	0	0	0	0	0	0	0	0	0	0	0	0	0.00624	0	0	0	0.33269	0	0.02889	0	0.02648	0	0.09989	0	0.01105	0	0	0	0	0	0	0.00318	0.00098	0.00091
SGB38575	0	0.01421	0	0.00821	0	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0	0.07559	0	0.01452	0	0	0	0	0	0	0.1029	0.18773	0.11105	0	0	0	0	0	0	0	0.00195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00245	0	0.00266	0	0	0	0	0	0	0	0	0	0	0
SGB16900	0	0.01418	0	0.08585	0	0	0	0.15376	0	0.01009	0	0	0	0.00316	0	0	0	0	0	0.01736	0	0	0	0.00747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17541	0	0.06174	0	0.00959	0	0.01635	0	0.02824	0	0	0	0	0	0	0.0461	0.03791	0.02652
SGB8326	0	0.01391	0	0	0	0	0	0.00733	0	0.00392	0	0	0	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0.0003	0	0	0	0.04601	0	0.00336	0.00613	0	0	0	0	0	0
SGB16794	0	0.01386	0	0.1094	0	0	0	0.15762	0	0.00456	0	0	0	0.01852	0	0	0	0	0	0.00983	0	0.00053	0	0	0	0	0	0.01694	0	0	0	0	0	0	0.01231	0.01322	0.00716	0	0.00777	0	0.13998	0.00039	0	0.0065	0	0	0	0	0	0	0	0	0	0.02725	0	0	0	0.07501	0	0.04416	0	0.01064	0	0.02359	0	0	0	0	0	0	0	0	0.03687	0.00812	0.00479
SGB38219	0	0.01347	0	0.00678	0	0	0	0.00648	0	0	0	0	0	0.01922	0	0	0	0	0	0.00459	0	0.00142	0	0	0	0	0	0	0.01564	0.00795	0.01534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192	0	0.00124	0	0.00407	0	0.00106	0	0	0	0	0	0	0	0	0	0	0.00086
SGB16879	0	0.0134	0	0.01555	0	0	0	0	0	0.004	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00242	0	0	0	0	0	0	0.01347	0.01516	0.00504	0	0.00888	0	0.00234	0	0	0	0	0	0	0	0	0	0	0	0	0.00336	0	0	0	0.03942	0	0.0333	0	0.00167	0	0.02296	0	0	0	0	0	0	0	0	0	0	0
SGB89802	0	0.01331	0	0.00078	0.02067	0	0	0.04971	0	0.00833	0	0.00136	0	0.00394	0	0.00109	0	0	0	0.00017	0	0	0	0	0	0	0	0.01029	0	0	0	0	0	0	0	0	0	0	0.01463	0	0.00528	0	0	0	0	0	0	0.00214	0.00488	0.00592	0.00025	0	0	0.1181	0	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB15989	0	0.01308	0	0.0044	0.02804	0	0	0.00156	0	0	0	0.00237	0	0	0	0	0	0	0	0.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00623	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00085	0	0.00455	0	0.01558	0	0	0	0.02855	0	0	0	0	0	0	0	0	0	0	0
SGB12833	0	0.01291	0	0.00065	0	0	0	0	0	0	0	0	0	0.00316	0	0	0	0.01371	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00971	0	0.08344	0	0.04636	0	0.01975	0	0	0	0	0	0	0	0	0	0	0
SGB10717	0	0.0124	0	0.01459	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0	9.00E-05	0	0	0	0.00503	0	0	0	0	0	0	0	0	0	0	0.00072	0.00023	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0.01145	0	0.00023	0	0.00272	0	0	0	0	0	0	0	0	0	0	0
SGB88633	0	0.01231	0	0.00761	0.06541	0	0	0.00051	0	0.01276	0	0.00034	0	0.00049	0	0.00403	0	0.00117	0	0.00647	0	0	0	0.00988	0	0.02171	0	0.01124	0	0	0	0	0	0	0.00447	0.00523	0.00294	0	0	0	0.00144	0	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0.01294	0	0	0	0.06121	0	0.013	0	0	0	0	0	0	0	0	0	0.00032	9.00E-05
SGB34162	0	0.01168	0	0.01366	0.0057	0	0	0.00898	0	0.03051	0	0.00276	0	0.00011	0	0.00153	0	0	0	0.00065	0	0	0	0	0	0	0	0.00305	0	0	0	0	0	0	0.00533	0.00364	0.00366	0	0.05602	0	0.03381	0	0	0	0	0	0	0.03008	0.03404	0.03654	0	0	0	0.02601	0	0	0	0.01847	0	0.0024	0	0.02644	0	0.01084	0	0	0	0	0	0	0	0	0	0	0
SGB16781	0	0.01158	0	0.00489	0	0	0	0	0	0	0	0.00345	0	0	0	0.00141	0	0.06379	0	0.0007	0	0	0	0.00277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0.00019	0	0.01783	0	0.00051	0	0.01783	0	0	0	0	0	0	0	0	0.00276	0.01053	0.00546
SGB7392	0	0.01146	0	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB23821	0	0.01142	0	0.04331	0.00394	0	0	0.02896	0	0.00226	0	0	0	0.00171	0	0	0	0	0	0.00876	0	0	0	0	0	0	0	0.00134	0	0	0	0	0	0	0.04505	0.07695	0.03639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02817	0	0	0	0.09725	0	0.004	0	0	0	0.0532	0	0	0	0	0	0	0	0	0	0	0
SGB8330	0	0.01137	0	0.01204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03772	0	0	0	0	0	0	0.00037	0.00155	0	0	0	0	0.10859	0	0	0	0	0	0	0	0	0	0	0	0	0.00155	0	0	0	0.00761	0	0.0084	0	0.00465	0	0.0015	0	0	0	0	0	0	0	0	0	0	0
SGB8325	0	0.01134	0	0.00226	0	0	0	0.02647	0	0.05609	0	0	0	0.00031	0	0	0	0	0	0.00853	0	0	0	0	0	0.04027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153	0	0.00948	0	0.02003	0	0.26995	0	0.14923	0.23015	0	0	0	0	0	0
SGB16163	0	0.01132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB87900	0	0.01106	0	0.03273	0	0	0	0.05213	0	0.01048	0	0	0	0.00715	0	0	0	0	0	0.00566	0	0	0	0	0	0	0	0.00961	0	0	0	0	0	0	0	0	0.00125	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00133	0	0	0	0.07115	0	0.01962	0	0.00885	0	0.00546	0	0.01116	0	0	0	0	0	0	0.0152	0.01325	0.01187
SGB88924	0	0.01102	0	0.00597	0	0	0	0	0	0	0	0.00544	0	0.01244	0	0	0	0	0	0	0	0.0324	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0.01051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0.01369	0.00029	0	0	0	0	0	0	0	0
SGB15679	0	0.01096	0	0.04762	0.15485	0	0	0.0074	0	0.00146	0	0.00028	0	0.0418	0	0.02615	0	0.00078	0	0.02344	0	0.19905	0	0.07238	0	0.04189	0	0.19553	0	0.00157	0.00077	0	0	0	0.00451	0.00499	0.00223	0	0.04656	0	0.1031	0	0	0	0	0	0	0	0	0	0	0	0	0.06233	0	0	0	0.01656	0	0.01002	0	0.06499	0	0.03024	0	0.07679	0	0	0	0	0	0	0.01624	0.00411	0.00545
SGB25127	0	0.0109	0	0	0	0	0	0	0	0	0	0.12418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03415	0.04791	0.04327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB16537	0	0.01067	0	0	0	0	0	0	0	0.00091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB34739	0	0.01062	0	0	0.00513	0	0	0.00204	0	0	0	6.00E-05	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB16696	0	0.01036	0	0.01795	0.24967	0	0	0	0	0	0	0	0	0.00299	0	0	0	0	0	0.00016	0	0.05032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0
SGB34915	0	0.01029	0	0	0.00649	0	0	0	0	0	0	0	0	0.01138	0	0.00154	0	0	0	0.00721	0	0.00346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0	0	0.00235	0	0	0	0	0	0	0	0	0	0	0
SGB84684	0	0.01029	0	0	0	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086	0.00792	0.01219	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0.00221
SGB34239	0	0.01028	0	0	0	0	0	0	0	0.00603	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0.00051	0	0	0	0	0	0	0	0	0	0	0.00133	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00582	0	0.01096	0	0.02747	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB24411	0	0.01024	0	0.02366	0.024	0	0	0.00371	0	0.00775	0	0.00356	0	0.0054	0	0.00287	0	0.042	0	0.04041	0	0	0	0.06532	0	0.00528	0	0.00462	0	0	0	0	0	0	0.01137	0.00873	0.01186	0	0.00203	0	0.01407	0	0	0	0	0	0	0	0	0	0	0	0	0.01503	0	0	0	0.00517	0	0.002	0	0.17074	0	0.0241	0	0.02714	0	0	0	0	0	0	0	0	0
SGB32996	0	0.01013	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166	0	0.01005	0	0	0	0	0	0	0.01106	0.01041	0.01741	0	0	0	0.0034	0.00619	0.00445	6.00E-05	0.0172	0	0.01538	0	0	0	0.00268	0.00278	0.0019	0.00801	0.00815	0.01106	0.01188	0	0	0	0	0.00132	0	0.01394	0	0.00228	0	0	0	0.04279	0	0	0	0	0	0	0	0	0	0	0
SGB78859	0	0.01006	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0.00807	0	0	0	0	0	0	0	0	0	0.0054	0.10255	0.15659	0.05236	0	0	0	0.26125	0.2127	0.27117	0	0.00192	0	0.00345	0	0.00054	0	0	0	0	0.00114	0.00214	0.00257	0	0	0	0.00381	0	0.00115	0	0.00944	0	0.2063	0	0.02026	0	0.05076	0	0	0	0	0	0	0	0	0	0	0
SGB87014	0	0.01	0	0	0	0	0	0.10177	0	0.00246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB55755	0	0.00995	0	0.11663	0	0	0	0.02533	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00328	0	0	0	0.24594	0	0.04703	0	0.02882	0	0.16479	0	0	0	0	0	0	0	0	0	0	0
SGB88020	0	0.00961	0	0	0	0	0	0.00774	0	0.00466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB15814	0	0.00948	0	0.16734	0	0	0	0.00374	0	0.00786	0	0	0	0.00876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01781	0	0.05605	0	0	0	0	0	0	0	0	0	0	0	0	0.01896	0	0	0	0.02919	0	0.01343	0	0.00477	0	0.03539	0	0	0	0	0	0	0	0	0.00967	0.00316	0.00136
SGB87799	0	0.00943	0	0	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108	0	0	0	0	0	0	0	0	0	0	0.00345	0	0.08799	0	0	0	0	0	0	0	0.0003	0.00012	0	0	0	0.04003	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGB11392	0	0.00942	0	0	0.01162	0	0	0.01414	0	0.01652	0	0	0	0.00529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559	0	0.01161	0	0.00658	0	0	0	0	0	0	0	0	0	0	0
SGB38540	0	0.00909	0	0.03406	0	0	0	0.0234	0	0.00496	0	0	0	0.00613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0.00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01165	0	0.03488	0	0.00577	0	0.0051	0	0	0	0	0	0	0	0	0	0	0
SGB16749	0	0.00904	0	0.00276	0	0.14799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302	0.00373	0.02379	0	0	0	0.05396	0.00512	0.01201	0	0.14052	0	0.02092	0	0	0	0.00061	0.00047	0.01581	0	0	0	0.50211	0	0	0.00355	0	0.39671	0.00556	0	0	0.01474	0	0	0	0.10337	0	0	0.00537	0.00151	0	0	0	0	0	0	0
SGB88361	0	0.00886	0	0.05183	0	0	0	0.00937	0	0.00661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	0.01334	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0.03052	0	0.00225	0	0.00305	0	0.00717	0	0	0	0	0	0	0	0	0	0	0
SGB3139	0	0.0084	0	0	0	0.0231	0	0	0	0	0	0	0	0.00085	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066	0	0	0	0	0.00132	0	0	0	0	0.00227	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0	0	0	0	0	0
SGB12808	0	0.00818	0	0.03727	0	0	0	0.00148	0	0.0002	0	0	0	0.00366	0	0.00178	0	0	0	0.00173	0	0.00134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0.01181	0	0.00031	0	0.00046	0	0.00148	0	0	0	0	0	0	0	0	0	0	0
